,Name,Brand,SKU,Link,Rating,Reviews
0,S610 Shine - 5.5 - 3GB + 32GB - 18MP (Dual SIM) - Black,Fourmobile,FO780EL0KJZITNAFAMZ,https://www.jumia.co.ke/fourmobile-s610-shine-5.5-3gb-32gb-18mp-dual-sim-black-12842543.html,77,331
1,"C12 Pro, 6.18, 16GB + 2GB (Dual SIM), 4G, Black.",Oukitel,OU423EL1KTGX7NAFAMZ,https://www.jumia.co.ke/c12-pro-6.18-16gb-2gb-dual-sim-4g-black-oukitel-mpg151905.html,80,128
2,"C12 Pro, 6.18 ,16GB + 2GB RAM,  Dual SIM, 4G - Gold",Oukitel,OU423EL14TKO3NAFAMZ,https://www.jumia.co.ke/c12-pro-6.18-16gb-2gb-ram-dual-sim-4g-gold-oukitel-mpg129567.html,83,53
3,"Hot 7 (X624B), 32GB + 2GB (Dual SIM), Black",Infinix,IN213EL0WRCIHNAFAMZ,https://www.jumia.co.ke/hot-7-x624b-32gb-2gb-dual-sim-black-infinix-mpg148964.html,73,16
4,Zero 5 Pro x603B-[128GB+6GB RAM]-Dual SIM-4350mAh Battery-4GLTE-Black with Bronze Gold,Infinix,IN213EL04JHLONAFAMZ,https://www.jumia.co.ke/zero-5-pro-128gb-x603b-dual-sim-black-with-bronze-gold-infinix-mpg104875.html,83,15
5,"Smart 2HD X609, 6, 16GB + 1GB (Dual SIM), Black",Infinix,IN213EL14PECPNAFAMZ,https://www.jumia.co.ke/smart-2hd-x609-6-16gb-1gb-dual-sim-black-infinix-mpg131954.html,88,159
6,"Smart 2HD X609, 6,  16GB + 1GB (Dual SIM), Gold",Infinix,IN213EL1KTJLBNAFAMZ,https://www.jumia.co.ke/infinix-smart-2hd-x609-6-16gb-1gb-dual-sim-gold-infinix-mpg135096.html,87,101
7,"Redmi 6, 5.45, 4G, 64GB + 3GB (Dual SIM), Gold",Xiaomi,XI996EL0M9V4PNAFAMZ,https://www.jumia.co.ke/redmi-6-5.45-4g-64gb-3gb-ram-fingerprint-sensor-125-mp-rear-back-camera-dual-sim-gold-xiaomi-mpg133111.html,87,267
8,"HOT 7 - 16GB - 1GB, 6.2, 13MP, 4000mAh, Dual SIM - Black",Infinix,IN213EL175VBBNAFAMZ,https://www.jumia.co.ke/hot-7-16gb-1gb-6.2-13mp-4000mah-dual-sim-black-infinix-mpg148959.html,89,40
9,S7 - 8GB - 1GB RAM (8MP+5 MP) Camera - Dual Sim - 3G - Black,Ulefone,UL031EL0O4AOSNAFAMZ,https://www.jumia.co.ke/s7-8gb-1gb-ram-8mp5-mp-camera-dual-sim-3g-black-ulefone-mpg135374.html,81,229
